GlossaryName,TermName,ShortDescription,LongDescription,Examples,Abbreviation,Usage,AdditionalAttributes,TranslationTerms,ValidValuesFor,Synonyms,ReplacedBy,ValidValues,ReplacementTerms,SeeAlso,TranslatedTerms,IsA,Antonyms,Classifies,PreferredToTerms,PreferredTerms
TPCDS Retail,Sales Channel,"One of the three ways the retailer sells goods: physical store, printed catalog, or web site.","Every sales and returns fact table belongs to exactly one channel. Channel is implied by the table, not stored as a column.",Store; Catalog; Web,,,,,,,,,,,,,,,,
TPCDS Retail,Sales Transaction,A line item recording the sale of a quantity of one item to one customer on one date.,"One row per item per ticket/order. Store sales are grouped by Ticket Number; catalog and web sales by Order Number. Also known as: Sale, Sales Line.",,,,,,,,,,,TPCDS Retail:Sales Channel|TPCDS Retail:Return Transaction,,,,,,
TPCDS Retail,Return Transaction,A line item recording a customer returning a quantity of one item previously sold.,"Returns reference the original sale via Ticket Number or Order Number plus Item. Not every sale has a return. Also known as: Return, Merchandise Return.",,,,,,,,,,,TPCDS Retail:Sales Transaction|TPCDS Retail:Return Reason,,,,,,
TPCDS Retail,Sales Measure,A numeric fact recorded on a sales transaction line.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Return Measure,A numeric fact recorded on a return transaction line.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Dimension,"A descriptive entity used to slice facts: who, what, where, when.",,,,,,,,,,,,,,,,,,
TPCDS Retail,Surrogate Key,System-generated integer identifier used to join fact tables to dimension tables.,Columns ending in _sk. Never meaningful to the business; use the corresponding Business Key (_id) for reporting.,ss_customer_sk -> customer.c_customer_sk,SK,,,,,,,,,TPCDS Retail:Business Key,,,,,,
TPCDS Retail,Business Key,"Stable, human-readable identifier for a dimension member that survives Type-2 history changes.",Columns ending in _id (16-character string). Several surrogate keys can share one business key when the entity has history.,AAAAAAAABAAAAAAA,ID,,,,,,,,,TPCDS Retail:Surrogate Key|TPCDS Retail:Slowly Changing Dimension,,,,,,
TPCDS Retail,Slowly Changing Dimension,A dimension that keeps history: each version is a separate row with a record start and end date.,"Item, Store, Call Center, Web Site and Web Page are Type-2. Current version has a null record end date.",,SCD2,,,,,,,,,TPCDS Retail:Business Key,,,,,,
TPCDS Retail,Customer,A person who has purchased from any channel.,"One row per customer. Links to current demographics and address; historical demographics at time of sale are on the fact rows. Also known as: Shopper, Buyer.",,,,,,,,,,,,,TPCDS Retail:Dimension,,,,
