GlossaryName,TermName,ShortDescription,LongDescription,Examples,Abbreviation,Usage,AdditionalAttributes,TranslationTerms,ValidValuesFor,Synonyms,ReplacedBy,ValidValues,ReplacementTerms,SeeAlso,TranslatedTerms,IsA,Antonyms,Classifies,PreferredToTerms,PreferredTerms
TPCDS Retail,Sales Channel,"One of the three ways the retailer sells goods: physical store, printed catalog, or web site.","Every sales and returns fact table belongs to exactly one channel. Channel is implied by the table, not stored as a column.",Store; Catalog; Web,,,,,,,,,,,,,,,,
TPCDS Retail,Sales Transaction,A line item recording the sale of a quantity of one item to one customer on one date.,"One row per item per ticket/order. Store sales are grouped by Ticket Number; catalog and web sales by Order Number. Also known as: Sale, Sales Line.",,,,,,,,,,,TPCDS Retail:Sales Channel|TPCDS Retail:Return Transaction,,,,,,
TPCDS Retail,Return Transaction,A line item recording a customer returning a quantity of one item previously sold.,"Returns reference the original sale via Ticket Number or Order Number plus Item. Not every sale has a return. Also known as: Return, Merchandise Return.",,,,,,,,,,,TPCDS Retail:Sales Transaction|TPCDS Retail:Return Reason,,,,,,
TPCDS Retail,Surrogate Key,System-generated integer identifier used to join fact tables to dimension tables.,Columns ending in _sk. Never meaningful to the business; use the corresponding Business Key (_id) for reporting.,ss_customer_sk -> customer.c_customer_sk,SK,,,,,,,,,TPCDS Retail:Business Key,,,,,,
TPCDS Retail,Business Key,"Stable, human-readable identifier for a dimension member that survives Type-2 history changes.",Columns ending in _id (16-character string). Several surrogate keys can share one business key when the entity has history.,AAAAAAAABAAAAAAA,ID,,,,,,,,,TPCDS Retail:Surrogate Key,,,,,,
TPCDS Retail,Customer,A person who has purchased from any channel.,"One row per customer. Links to current demographics and address; historical demographics at time of sale are on the fact rows. Also known as: Shopper, Buyer.",,,,,,,,,,,,,,,,,
TPCDS Retail,Customer Demographics,"Personal demographic profile: gender, marital status, education, credit rating, dependents.",A shared lookup; many customers map to the same demographic row. Fact rows carry the demographics in effect at time of sale.,,CDEMO,,,,,,,,,,,,,,,
TPCDS Retail,Household Demographics,"Household-level profile: income band, buying potential, dependents, vehicles.",,,HDEMO,,,,,,,,,,,,,,,
TPCDS Retail,Customer Address,Postal address; used for the customer's current address and for the address on each sale.,"Fact rows reference the address used at time of sale, which may differ from the customer's current address.",,,,,,,,,,,,,,,,,
TPCDS Retail,Item,A product the retailer sells. Type-2: price and attributes are versioned over time.,"Join facts on i_item_sk to get the item version in effect at the time of sale; use i_item_id to group across versions. Also known as: Product, SKU.",,,,,,,,,,,,,,,,,
TPCDS Retail,Category,Top level of the product hierarchy.,,Books; Children; Electronics; Home; Jewelry; Men; Music; Shoes; Sports; Women,,,,,,,,,,,,,,,,
TPCDS Retail,Store,A physical retail location. Type-2.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Call Center,A facility that takes catalog orders and returns by phone. Type-2.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Catalog Page,A page in a printed catalog from which an item was ordered.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Web Site,A retailer web property through which orders are placed. Type-2.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Warehouse,A distribution facility that holds inventory and ships catalog and web orders.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Promotion,A marketing campaign offering a discount on an item over a date range.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Return Reason,Reason code given by the customer for a return.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Calendar Date,One row per calendar day with fiscal and calendar attributes.,"All facts reference dates by surrogate key. Sales use the sold date; returns use the returned date; catalog/web also carry a ship date. Also known as: Date, Day.",,,,,,,,,,,,,,,,,
TPCDS Retail,Ticket Number,Identifier of a store sales receipt; groups the line items of one store visit.,"Not unique on its own: the natural key of a store sales line is (ticket number, item).",,,,,,,,,,,TPCDS Retail:Order Number,,TPCDS Retail:Business Key,,,,
TPCDS Retail,Order Number,Identifier of a catalog or web order; groups the line items of one order.,"Natural key of a line is (order number, item).",,,,,,,,,,,TPCDS Retail:Ticket Number,,TPCDS Retail:Business Key,,,,
TPCDS Retail,Quantity Sold,Number of units of the item on the sales line.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Extended Sales Price,Quantity Sold x Unit Sales Price. Gross line revenue before coupons and tax.,Also known as: Gross Sales.,,,,,,,,,,,,,,,,,
TPCDS Retail,Net Paid,"Extended Sales Price - Coupon Amount. Revenue the customer actually paid, before tax and shipping.","Also known as: Net Sales, Net Revenue.",,,,,,,,,,,,,,,,,
TPCDS Retail,Net Profit,Net Paid - Extended Wholesale Cost. Line-level gross profit.,Also known as: Gross Profit.,,,,,,,,,,,,,,,,,
TPCDS Retail,Return Quantity,Units returned on the line.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Return Amount,"Value of the returned goods refunded to the customer, before tax.",,,,,,,,,,,,,,,,,,
TPCDS Retail,Inventory,Weekly snapshot of units on hand per item per warehouse.,"Semi-additive: sum across items and warehouses, never across dates.",,,,,,,,,,,,,,,,,
TPCDS Retail,Quantity On Hand,Units of the item held at the warehouse on the snapshot date.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Total Net Sales,SUM(Net Paid) across the selected channel(s).,Also known as: Revenue.,,,,,,,,,,,,,,,,,
TPCDS Retail,Gross Margin,SUM(Net Profit) / SUM(Net Paid). Profit as a share of net revenue.,,,,,,,,,,,,,,,,,,
TPCDS Retail,Return Rate,SUM(Return Amount) / SUM(Net Paid) for the same channel and period.,,,,,,,,,,,,,,,,,,
