term,table,column,tier
Slowly Changing Dimension,item,i_rec_start_date,full
Slowly Changing Dimension,item,i_rec_end_date,full
Slowly Changing Dimension,store,s_rec_start_date,full
Slowly Changing Dimension,store,s_rec_end_date,full
Slowly Changing Dimension,call_center,cc_rec_start_date,full
Slowly Changing Dimension,call_center,cc_rec_end_date,full
Slowly Changing Dimension,web_site,web_rec_start_date,full
Slowly Changing Dimension,web_site,web_rec_end_date,full
Slowly Changing Dimension,web_page,wp_rec_start_date,full
Slowly Changing Dimension,web_page,wp_rec_end_date,full
Customer,customer,c_customer_sk,seed
Customer,customer,c_customer_id,seed
Customer,store_sales,ss_customer_sk,seed
Customer,catalog_sales,cs_customer_sk,seed
Customer,web_sales,ws_customer_sk,seed
Customer,store_returns,sr_customer_sk,seed
Bill-To Customer,catalog_sales,cs_bill_customer_sk,full
Bill-To Customer,web_sales,ws_bill_customer_sk,full
Ship-To Customer,catalog_sales,cs_ship_customer_sk,full
Ship-To Customer,web_sales,ws_ship_customer_sk,full
Refunded Customer,catalog_returns,cr_refunded_customer_sk,full
Refunded Customer,web_returns,wr_refunded_customer_sk,full
Returning Customer,catalog_returns,cr_returning_customer_sk,full
Returning Customer,web_returns,wr_returning_customer_sk,full
Preferred Customer,customer,c_preferred_cust_flag,full
Customer Name,customer,c_salutation,full
Customer Name,customer,c_first_name,full
Customer Name,customer,c_last_name,full
Birth Date,customer,c_birth_day,full
Birth Date,customer,c_birth_month,full
Birth Date,customer,c_birth_year,full
Birth Country,customer,c_birth_country,full
Customer Email,customer,c_email_address,full
Customer Login,customer,c_login,full
First Sale Date,customer,c_first_sales_date_sk,full
First Ship-To Date,customer,c_first_shipto_date_sk,full
Last Review Date,customer,c_last_review_date_sk,full
Customer Demographics,customer_demographics,cd_demo_sk,seed
Customer Demographics,customer,c_current_cdemo_sk,seed
Customer Demographics,store_sales,ss_cdemo_sk,seed
Customer Demographics,catalog_sales,cs_cdemo_sk,seed
Customer Demographics,web_sales,ws_cdemo_sk,seed
Customer Demographics,store_returns,sr_cdemo_sk,seed
